"Statistic Label","Year","Nationality of Ownership","UNIT","VALUE"
"Estimated Current Expenditure - Labour Costs","2007","All nationalities of ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2007","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2007","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2008","All nationalities of ownership","Euro Thousand","905373"
"Estimated Current Expenditure - Labour Costs","2008","Irish ownership","Euro Thousand","308698"
"Estimated Current Expenditure - Labour Costs","2008","Non Irish ownership","Euro Thousand","596675"
"Estimated Current Expenditure - Labour Costs","2009","All nationalities of ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2009","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2009","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2010","All nationalities of ownership","Euro Thousand","966140"
"Estimated Current Expenditure - Labour Costs","2010","Irish ownership","Euro Thousand","327009"
"Estimated Current Expenditure - Labour Costs","2010","Non Irish ownership","Euro Thousand","639132"
"Estimated Current Expenditure - Labour Costs","2011","All nationalities of ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2011","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2011","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2012","All nationalities of ownership","Euro Thousand","1091366"
"Estimated Current Expenditure - Labour Costs","2012","Irish ownership","Euro Thousand","364806"
"Estimated Current Expenditure - Labour Costs","2012","Non Irish ownership","Euro Thousand","726561"
"Estimated Current Expenditure - Labour Costs","2013","All nationalities of ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2013","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2013","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2014","All nationalities of ownership","Euro Thousand","1295455"
"Estimated Current Expenditure - Labour Costs","2014","Irish ownership","Euro Thousand","485083"
"Estimated Current Expenditure - Labour Costs","2014","Non Irish ownership","Euro Thousand","810373"
"Estimated Current Expenditure - Labour Costs","2015","All nationalities of ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2015","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2015","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2016","All nationalities of ownership","Euro Thousand","1392740"
"Estimated Current Expenditure - Labour Costs","2016","Irish ownership","Euro Thousand","585856"
"Estimated Current Expenditure - Labour Costs","2016","Non Irish ownership","Euro Thousand","806883"
"Estimated Current Expenditure - Labour Costs","2017","All nationalities of ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2017","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2017","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2018","All nationalities of ownership","Euro Thousand","1719637"
"Estimated Current Expenditure - Labour Costs","2018","Irish ownership","Euro Thousand","617344"
"Estimated Current Expenditure - Labour Costs","2018","Non Irish ownership","Euro Thousand","1102293"
"Estimated Current Expenditure - Labour Costs","2019","All nationalities of ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2019","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2019","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2020","All nationalities of ownership","Euro Thousand","1740674"
"Estimated Current Expenditure - Labour Costs","2020","Irish ownership","Euro Thousand","501746"
"Estimated Current Expenditure - Labour Costs","2020","Non Irish ownership","Euro Thousand","1238928"
"Estimated Current Expenditure - Labour Costs","2021","All nationalities of ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2021","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2021","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2022","All nationalities of ownership","Euro Thousand","2613573"
"Estimated Current Expenditure - Labour Costs","2022","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2022","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2023","All nationalities of ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2023","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2023","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2024","All nationalities of ownership","Euro Thousand","2765991"
"Estimated Current Expenditure - Labour Costs","2024","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Labour Costs","2024","Non Irish ownership","Euro Thousand",""
