"Statistic Label","Year","Nationality of Ownership","Expenditure","UNIT","VALUE"
"Enterprises Engaged in Research and Development Activities (Number)","2007","All nationalities of ownership","Any expenditure","Number","1206"
"Enterprises Engaged in Research and Development Activities (Number)","2007","All nationalities of ownership","€0 - €99,999","Number","419"
"Enterprises Engaged in Research and Development Activities (Number)","2007","All nationalities of ownership","€100,000 - €499,999","Number","398"
"Enterprises Engaged in Research and Development Activities (Number)","2007","All nationalities of ownership","€500,000 - €1,999,999","Number","226"
"Enterprises Engaged in Research and Development Activities (Number)","2007","All nationalities of ownership","€2,000,000 - €4,999,999","Number","90"
"Enterprises Engaged in Research and Development Activities (Number)","2007","All nationalities of ownership","€5,000,000 and over","Number","73"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Irish ownership","Any expenditure","Number","817"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Irish ownership","€0 - €99,999","Number","328"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Irish ownership","€100,000 - €499,999","Number","293"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Irish ownership","€500,000 - €1,999,999","Number","147"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Irish ownership","€2,000,000 - €4,999,999","Number","37"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Irish ownership","€5,000,000 and over","Number","12"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Non Irish ownership","Any expenditure","Number","389"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Non Irish ownership","€0 - €99,999","Number","91"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Non Irish ownership","€100,000 - €499,999","Number","105"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Non Irish ownership","€500,000 - €1,999,999","Number","79"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Non Irish ownership","€2,000,000 - €4,999,999","Number","54"
"Enterprises Engaged in Research and Development Activities (Number)","2007","Non Irish ownership","€5,000,000 and over","Number","61"
"Enterprises Engaged in Research and Development Activities (Number)","2009","All nationalities of ownership","Any expenditure","Number","1283"
"Enterprises Engaged in Research and Development Activities (Number)","2009","All nationalities of ownership","€0 - €99,999","Number","435"
"Enterprises Engaged in Research and Development Activities (Number)","2009","All nationalities of ownership","€100,000 - €499,999","Number","439"
"Enterprises Engaged in Research and Development Activities (Number)","2009","All nationalities of ownership","€500,000 - €1,999,999","Number","277"
