"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C03337V04024","Type of Innovation","C02673V03235","NACE Rev 2 Sector","UNIT","VALUE"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","01","Any intellectual innovation","V1500","Industries (05 to 39)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","01","Any intellectual innovation","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","01","Any intellectual innovation","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","02","Apply for a patent","V1500","Industries (05 to 39)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","02","Apply for a patent","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","02","Apply for a patent","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","03","Apply for a European utility model","V1500","Industries (05 to 39)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","03","Apply for a European utility model","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","03","Apply for a European utility model","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","04","Register an industrial design right","V1500","Industries (05 to 39)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","04","Register an industrial design right","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","04","Register an industrial design right","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","05","Register a trademark","V1500","Industries (05 to 39)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","05","Register a trademark","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","05","Register a trademark","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","06","All enterprises using trade secrets","V1500","Industries (05 to 39)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","06","All enterprises using trade secrets","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","06","All enterprises using trade secrets","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","07","All enterprises claiming copyright","V1500","Industries (05 to 39)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","07","All enterprises claiming copyright","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2014","2014","07","All enterprises claiming copyright","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","01","Any intellectual innovation","V1500","Industries (05 to 39)","%","15.9"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","01","Any intellectual innovation","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","12.7"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","01","Any intellectual innovation","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","11"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","02","Apply for a patent","V1500","Industries (05 to 39)","%","9.1"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","02","Apply for a patent","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","5.7"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","02","Apply for a patent","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","4"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","03","Apply for a European utility model","V1500","Industries (05 to 39)","%","1"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","03","Apply for a European utility model","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","0.5"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","03","Apply for a European utility model","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","0.2"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","04","Register an industrial design right","V1500","Industries (05 to 39)","%","1.6"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","04","Register an industrial design right","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","0.8"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","04","Register an industrial design right","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","0.4"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","05","Register a trademark","V1500","Industries (05 to 39)","%","8.1"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","05","Register a trademark","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","7.3"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","05","Register a trademark","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","7"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","06","All enterprises using trade secrets","V1500","Industries (05 to 39)","%","5.1"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","06","All enterprises using trade secrets","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","3.1"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","06","All enterprises using trade secrets","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","2.1"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","07","All enterprises claiming copyright","V1500","Industries (05 to 39)","%","2"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","07","All enterprises claiming copyright","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","3.1"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2016","2016","07","All enterprises claiming copyright","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","3.6"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","01","Any intellectual innovation","V1500","Industries (05 to 39)","%","19.8"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","01","Any intellectual innovation","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","15.3"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","01","Any intellectual innovation","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","12.7"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","02","Apply for a patent","V1500","Industries (05 to 39)","%","10.2"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","02","Apply for a patent","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","7.1"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","02","Apply for a patent","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","5.4"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","03","Apply for a European utility model","V1500","Industries (05 to 39)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","03","Apply for a European utility model","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","03","Apply for a European utility model","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","04","Register an industrial design right","V1500","Industries (05 to 39)","%","4.1"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","04","Register an industrial design right","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","2.6"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","04","Register an industrial design right","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","1.8"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","05","Register a trademark","V1500","Industries (05 to 39)","%","10"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","05","Register a trademark","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","8.5"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","05","Register a trademark","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","7.7"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","06","All enterprises using trade secrets","V1500","Industries (05 to 39)","%","7.3"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","06","All enterprises using trade secrets","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","5.5"
