year,nationality_of_ownership,Actual_Capital_Expenditure_-_Instruments_and_Equipment_excluding_software,Actual_Capital_Expenditure_-_Land_and_Buildings,Actual_Capital_Expenditure_-_Software_development_by_company_in-house_and_used_in-house,Actual_Capital_Expenditure_-_Software_purchased_wholly_for_Research_and_Development_purposes,Actual_Capital_Expenditure-_Payments_made_for_licences_to_use_intellectual_products,Actual_Current_Expenditure_-_Labour_Costs,Actual_Current_Expenditure_-_Other_Current_Costs,Actual_Total_Capital_Expenditure,Actual_Total_Current_Expenditure,Actual_Total_Research_and_Development_Expenditure,Estimated_Capital_Expenditure_-_Instruments_and_Equipment_excluding_software,Estimated_Capital_Expenditure_-_Land_and_Buildings,Estimated_Capital_Expenditure_-_Software_development_by_company_in-house_and_used_in-house,Estimated_Capital_Expenditure_-_Software_purchased_wholly_for_Research_and_Development_purposes,Estimated_Capital_Expenditure-_Payments_made_for_licences_to_use_intellectual_products,Estimated_Current_Expenditure_-_Labour_Costs,Estimated_Current_Expenditure_-_Other_Current_Costs,Estimated_Total_Capital_Expenditure,Estimated_Total_Current_Expenditure,Estimated_Total_Research_and_Development_Expenditure,Enterprises_Engaged_in_Research_and_Development_Activities_%,Enterprises_Engaged_in_Research_and_Development_Activities_Number,type_of_innovation,Enterprises_Engaged_in_Intellectual_Property_Rights_Activities
2007,All nationalities of ownership,205704.0,73566.0,187171.0,187171.0,187171.0,843847.0,480067.0,279271.0,1323914.0,1603185.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,200.0,2412.0,All enterprises claiming copyright,4.5
2007,Irish ownership,24974.0,7410.0,187171.0,187171.0,187171.0,280135.0,130492.0,32384.0,410627.0,443010.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,200.0,1634.0,All enterprises claiming copyright,4.5
2007,Non Irish ownership,180730.0,66157.0,187171.0,187171.0,187171.0,563712.0,349576.0,246887.0,913287.0,1160174.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,200.3,779.0,All enterprises claiming copyright,4.5
2008,All nationalities of ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,206768.0,64304.0,187171.0,187171.0,187171.0,905373.0,510286.0,271072.0,1415659.0,1686732.0,200.0,2566.0,All enterprises claiming copyright,4.5
2008,Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,32505.0,19870.0,187171.0,187171.0,187171.0,308698.0,160376.0,52375.0,469074.0,521449.0,200.0,2566.0,All enterprises claiming copyright,4.5
2008,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,174263.0,44434.0,187171.0,187171.0,187171.0,596675.0,349910.0,218698.0,946585.0,1165283.0,200.0,2566.0,All enterprises claiming copyright,4.5
2009,All nationalities of ownership,221726.0,49613.0,2666.0,27640.0,23967.0,947497.0,595346.0,325613.0,1542843.0,1868456.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,200.0,2566.0,All enterprises claiming copyright,4.5
2009,Irish ownership,31491.0,12425.0,2412.0,22192.0,22521.0,307620.0,164557.0,91040.0,472177.0,563217.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,200.1,1904.0,All enterprises claiming copyright,4.5
2009,Non Irish ownership,190235.0,37189.0,254.0,5448.0,1446.0,639877.0,430789.0,234573.0,1070666.0,1305239.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,200.0,662.0,All enterprises claiming copyright,4.5
2010,All nationalities of ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,228053.0,38081.0,1947.0,30143.0,3203.0,966140.0,566040.0,301427.0,1532181.0,1833608.0,200.0,2566.0,All enterprises claiming copyright,4.5
2010,Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,40882.0,22334.0,1701.0,26188.0,2206.0,327009.0,163132.0,93311.0,490141.0,583452.0,200.0,2566.0,All enterprises claiming copyright,4.5
2010,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,15747.0,246.0,3955.0,997.0,639132.0,402908.0,208115.0,1042040.0,1250155.0,200.0,2566.0,All enterprises claiming copyright,4.5
2011,All nationalities of ownership,92693.0,32188.0,6610.0,12321.0,6502.0,1006308.0,600603.0,150314.0,1606911.0,1757225.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,200.0,3218.0,All enterprises claiming copyright,4.5
2011,Irish ownership,19651.0,11740.0,2401.0,3640.0,3334.0,338246.0,157855.0,40767.0,496101.0,536868.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,200.0,2384.0,All enterprises claiming copyright,4.5
2011,Non Irish ownership,73042.0,20447.0,4208.0,8681.0,3168.0,668062.0,442748.0,109547.0,1110810.0,1220357.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,199.8,834.0,All enterprises claiming copyright,4.5
2012,All nationalities of ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,85823.0,12902.0,6612.0,14566.0,7061.0,1091366.0,641039.0,126964.0,1732405.0,1859369.0,200.0,2566.0,All enterprises claiming copyright,4.5
2012,Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,17590.0,6641.0,1821.0,3970.0,3787.0,364806.0,179132.0,33809.0,543938.0,577747.0,200.0,2566.0,All enterprises claiming copyright,4.5
2012,Non Irish ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,68233.0,6262.0,4791.0,10596.0,3274.0,726561.0,461906.0,93155.0,1188467.0,1281622.0,200.0,2566.0,All enterprises claiming copyright,4.5
2013,All nationalities of ownership,74941.0,29664.0,16899.0,15794.0,9901.0,1238903.0,635761.0,147200.0,1874663.0,2021863.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,200.01,3958.0,All enterprises claiming copyright,4.5
2013,Irish ownership,18571.0,11233.0,13781.0,10145.0,4325.0,451967.0,193098.0,58056.0,645065.0,703121.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,200.0,3148.0,All enterprises claiming copyright,4.5
2013,Non Irish ownership,56370.0,18431.0,3118.0,5650.0,5575.0,786936.0,442663.0,89144.0,1229598.0,1318742.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,200.0,810.0,All enterprises claiming copyright,4.5
2014,All nationalities of ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,104341.0,10900.0,22902.0,12977.0,12802.0,1295455.0,631774.0,163922.0,1927229.0,2091151.0,200.0,2566.0,All enterprises claiming copyright,4.5
2014,All nationalities of ownership,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,187171.0,104341.0,10900.0,22902.0,12977.0,12802.0,1295455.0,631774.0,163922.0,1927229.0,2091151.0,200.0,2566.0,All enterprises using trade secrets,4.5
