year,nationality_of_ownership,Actual_Capital_Expenditure_-_Instruments_and_Equipment_excluding_software,Actual_Capital_Expenditure_-_Land_and_Buildings,Actual_Capital_Expenditure_-_Software_development_by_company_in-house_and_used_in-house,Actual_Capital_Expenditure_-_Software_purchased_wholly_for_Research_and_Development_purposes,Actual_Capital_Expenditure-_Payments_made_for_licences_to_use_intellectual_products,Actual_Current_Expenditure_-_Labour_Costs,Actual_Current_Expenditure_-_Other_Current_Costs,Actual_Total_Capital_Expenditure,Actual_Total_Current_Expenditure,Actual_Total_Research_and_Development_Expenditure,Estimated_Capital_Expenditure_-_Instruments_and_Equipment_excluding_software,Estimated_Capital_Expenditure_-_Land_and_Buildings,Estimated_Capital_Expenditure_-_Software_development_by_company_in-house_and_used_in-house,Estimated_Capital_Expenditure_-_Software_purchased_wholly_for_Research_and_Development_purposes,Estimated_Capital_Expenditure-_Payments_made_for_licences_to_use_intellectual_products,Estimated_Current_Expenditure_-_Labour_Costs,Estimated_Current_Expenditure_-_Other_Current_Costs,Estimated_Total_Capital_Expenditure,Estimated_Total_Current_Expenditure,Estimated_Total_Research_and_Development_Expenditure,expenditure,Enterprises_Engaged_in_Research_and_Development_Activities_%,Enterprises_Engaged_in_Research_and_Development_Activities_Number,type_of_innovation,Enterprises_Engaged_in_Intellectual_Property_Rights_Activities
0,0,205704.0,73566.0,41504.71428571428,11589.666666666666,21112.571428571428,843847.0,480067.0,279271.0,1323914.0,1603185.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,0-99k,34.7,419.0,0,5.658666666666666
0,0,205704.0,73566.0,41504.71428571428,11589.666666666666,21112.571428571428,843847.0,480067.0,279271.0,1323914.0,1603185.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,100k-499k,33.0,398.0,0,5.658666666666666
0,0,205704.0,73566.0,41504.71428571428,11589.666666666666,21112.571428571428,843847.0,480067.0,279271.0,1323914.0,1603185.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,2M-4.99M,7.5,90.0,0,5.658666666666666
0,0,205704.0,73566.0,41504.71428571428,11589.666666666666,21112.571428571428,843847.0,480067.0,279271.0,1323914.0,1603185.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,500k-1.99M,18.7,226.0,0,5.658666666666666
0,0,205704.0,73566.0,41504.71428571428,11589.666666666666,21112.571428571428,843847.0,480067.0,279271.0,1323914.0,1603185.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,5M+,6.1,73.0,0,5.658666666666666
0,0,205704.0,73566.0,41504.71428571428,11589.666666666666,21112.571428571428,843847.0,480067.0,279271.0,1323914.0,1603185.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,Any expenditure,100.0,1206.0,0,5.658666666666666
0,1,24974.0,7410.0,41504.71428571428,11589.666666666666,21112.571428571428,280135.0,130492.0,32384.0,410627.0,443010.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,0-99k,40.1,328.0,0,5.658666666666666
0,1,24974.0,7410.0,41504.71428571428,11589.666666666666,21112.571428571428,280135.0,130492.0,32384.0,410627.0,443010.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,100k-499k,35.9,293.0,0,5.658666666666666
0,1,24974.0,7410.0,41504.71428571428,11589.666666666666,21112.571428571428,280135.0,130492.0,32384.0,410627.0,443010.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,2M-4.99M,4.5,37.0,0,5.658666666666666
0,1,24974.0,7410.0,41504.71428571428,11589.666666666666,21112.571428571428,280135.0,130492.0,32384.0,410627.0,443010.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,500k-1.99M,18.0,147.0,0,5.658666666666666
0,1,24974.0,7410.0,41504.71428571428,11589.666666666666,21112.571428571428,280135.0,130492.0,32384.0,410627.0,443010.0,79985.17391304347,29891.942028985508,54298.242424242424,9640.363636363636,88543.5303030303,1157712.9605263157,627079.9210526316,447149.3157894737,1784793.144736842,2424300.5555555555,5M+,1.5,12.0,0,5.658666666666666
